facdomain,facgroup,facsubgrp,factype,datasource,count_new,facdomain_old,facgroup_old,facsubgrp_old,factype_old,count_old,diff
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"K-8 SCHOOL - PUBLIC, SPECIAL EDUCATION",doe_lcgms,13,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"K-8 SCHOOL - PUBLIC, SPECIAL EDUCATION",64,-51
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,RESIDENTIAL FACILITIES FOR SWD COVERED UNDER THE NY JUSTICE CENTER,nysed_activeinstitutions,2,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"SECONDARY SCHOOL - PUBLIC, SPECIAL EDUCATION",doe_lcgms,6,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"SECONDARY SCHOOL - PUBLIC, SPECIAL EDUCATION",13,-7
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SPECIAL ED TRAINING RESOURCE CENTERS,nysed_activeinstitutions,1,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SPECIAL ED TRAINING RESOURCE CENTERS,1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SUMMER SCHOOL FOR HANDICAPPED,nysed_activeinstitutions,4,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,SUMMER SCHOOL FOR HANDICAPPED,4,0
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"UNGRADED SCHOOL - CHARTER, SPECIAL EDUCATION",doe_lcgms,1,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC AND PRIVATE SPECIAL EDUCATION SCHOOLS,"UNGRADED SCHOOL - CHARTER, SPECIAL EDUCATION",1,0
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,doe_lcgms,637,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,717,-80
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,doe_lcgms,390,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,HIGH SCHOOL - PUBLIC,399,-9
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,doe_lcgms,262,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,257,5
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - PUBLIC,doe_lcgms,5,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - PUBLIC,5,0
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,K-8 SCHOOL - PUBLIC,doe_lcgms,141,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,K-8 SCHOOL - PUBLIC,173,-32
"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,SECONDARY SCHOOL - PUBLIC,doe_lcgms,83,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,SECONDARY SCHOOL - PUBLIC,85,-2
"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,nysed_activeinstitutions,405,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,404,1
"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,nysed_activeinstitutions,146,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,148,-2
"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED ESL SCHOOLS,nysed_activeinstitutions,48,"EDUCATION, CHILD WELFARE, AND YOUTH",VOCATIONAL AND PROPRIETARY SCHOOLS,PROPRIETARY SCHOOLS,REGISTERED ESL SCHOOLS,49,-1
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,BEACON AFTER-SCHOOL PROGRAMS,dycd_afterschoolprograms,79,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,"BEACON SATELLITE AFTER-SCHOOL PROGRAMS,BEACON,NYCHA COMMUNITY CENTER",dycd_afterschoolprograms,25,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,"HIGH-SCHOOL AGED YOUTH AFTER-SCHOOL PROGRAMS,NDA PROGRAMS,YOUTH EDUCATIONAL SUPPORT",dycd_afterschoolprograms,50,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,"MIDDLE SCHOOL YOUTH AFTER-SCHOOL PROGRAMS,NDA PROGRAMS,ADOLESCENT LITERACY,YOUTH EDUCATIONAL SUPPORT",dycd_afterschoolprograms,42,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,TEEN ACTION PROGRAM AFTER-SCHOOL PROGRAMS,dycd_afterschoolprograms,59,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","ADOLESCENT LITERACY READING & WRITING,NDA PROGRAMS,FAMILY LITERACY",dycd_afterschoolprograms,9,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","ADULT LITERACY READING & WRITING,NDA PROGRAMS,ENGLISH LANGUAGE PROGRAM,ESOL,FAMILY LITERACY",dycd_afterschoolprograms,46,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","ADULT LITERACY READING & WRITING,NDA PROGRAMS,ENGLISH LANGUAGE PROGRAM,ESOL,FAMILY LITERACY,ADULT BASIC EDUCATION,ABE/GED",dycd_afterschoolprograms,7,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","ADULT LITERACY READING & WRITING,NDA PROGRAMS,ENGLISH LANGUAGE PROGRAM,FAMILY LITERACY,ADULT BASIC EDUCATION,ABE/GED",dycd_afterschoolprograms,14,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",CRISIS SHELTER RUNAWAY & HOMELESS YOUTH,dycd_afterschoolprograms,6,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",DROP-IN CENTER RUNAWAY & HOMELESS YOUTH,dycd_afterschoolprograms,6,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","FAMILY LITERACY READING & WRITING,NDA PROGRAMS,FAMILY LITERACY",dycd_afterschoolprograms,18,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","FATHERHOOD INITIATIVE FAMILY SUPPORT,NDA PROGRAMS",dycd_afterschoolprograms,19,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","HEALTH STAT INITIATIVE FAMILY SUPPORT,NDA PROGRAMS",dycd_afterschoolprograms,8,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","HEALTHY FAMILIES FAMILY SUPPORT,NDA PROGRAMS",dycd_afterschoolprograms,51,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","HOUSING FAMILY SUPPORT,NDA PROGRAMS",dycd_afterschoolprograms,41,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","IN-SCHOOL YOUTH EMPLOYMENT (ISY) AFTER-SCHOOL PROGRAMS,JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",dycd_afterschoolprograms,64,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,dycd_afterschoolprograms,500,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",dycd_afterschoolprograms,266,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT-OF-SCHOOL YOUTH EMPLOYMENT (OSY) AFTER-SCHOOL PROGRAMS,JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",dycd_afterschoolprograms,20,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SENIORS NDA PROGRAMS,SENIOR PROGRAMS,OLDER ADULT PROGRAM",dycd_afterschoolprograms,54,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",STREET OUTREACH RUNAWAY & HOMELESS YOUTH,dycd_afterschoolprograms,1,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SUMMER YOUTH EMPLOYMENT JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",dycd_afterschoolprograms,69,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",TRANSITIONAL INDEPENDENT LIVING GREEN CHIMNEYS RUNAWAY & HOMELESS YOUTH,dycd_afterschoolprograms,1,,,,,,
"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",YOUNG ADULT INTERNSHIP PROGRAM JOBS & INTERNSHIPS,dycd_afterschoolprograms,15,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 REHAB AND REINTEGRATION,nysoasas_programs,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 RESIDENTIAL REHABILITATION,nysoasas_programs,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 RESIDENTIAL REHABILITATION CHEMICAL DEPENDENCY,moeo_socialservicesiteloactions,1,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 RESIDENTIAL REHABILITATION CHEMICAL DEPENDENCY,1,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 STABIL AND REHAB,nysoasas_programs,5,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,820 STABIL REHAB REINTEGRATION,nysoasas_programs,9,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,COMMUNITY RESIDENTIAL,nysoasas_programs,11,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,CRYSTAL METHAMPHETAMINE HARM REDUCTION SERVICES,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,DIAGNOSTIC AND TREATMENT CENTER,moeo_socialservicesiteloactions,14,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,nysoasas_programs,14,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,nysoasas_programs,30,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MAOT-A-RESIDENTIAL,nysoasas_programs,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,nysoasas_programs,11,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL-OUTPATIENT,nysoasas_programs,4,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL-OUTPATIENT CHEMICAL DEPENDENCY,moeo_socialservicesiteloactions,1,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL-OUTPATIENT CHEMICAL DEPENDENCY,6,-5
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MEDICAL MAINTENANCE,nysoasas_programs,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MEDICAL MANAGED DETOXIFICATION,nysoasas_programs,12,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MEDICALLY MONITORED WITHDRAWAL,nysoasas_programs,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MEDICALLY MONITORED WITHDRAWAL CHEMICAL DEPENDENCY,moeo_socialservicesiteloactions,19,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,MEDICALLY MONITORED WITHDRAWAL CHEMICAL DEPENDENCY,2,17
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,METH HARM REDUCTION SERVICES,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,METHADONE KEEP,nysoasas_programs,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,nysoasas_programs,50,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,nysoasas_programs,159,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OUTPATIENT REHABILITATION,nysoasas_programs,9,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,RESIDENTIAL REHAB FOR YOUTH,nysoasas_programs,3,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,"ADDRESSING HEALTH DISPARITIES IMPACTING LESBIAN, GAY, BISEXUAL AND TRANSGENDER POPULATIONS",moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,ADVOCACY SERVICES,moeo_socialservicesiteloactions,18,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,ASTHMA COUNSELOR PROGRAM (EAST HARLEM),moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,COMMUNITY CENTER,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,COMMUNITY MOBILIZATION INTERVENTIONS FOR HIV PREVENTION,moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,COMMUNITY-LEVEL INTERVENTIONS FOR HIV PREVENTION,moeo_socialservicesiteloactions,53,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,COMPULSIVE GAMBLING EDUCATION,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,DIAGNOSTIC AND TREATMENT CENTER,moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,EARLY INTERVENTION SERVICES: PRIORITY POPULATIONS TESTING IN NON-CLINICAL SETTINGS,moeo_socialservicesiteloactions,50,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,GENERAL PREVENTIVE CARE (PC),moeo_socialservicesiteloactions,81,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HARLEM HEALTH ADVOCACY PARTNERS,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION CENTER,moeo_socialservicesiteloactions,39,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION SERVICES,moeo_socialservicesiteloactions,71,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HEALTH EDUCATION AND RISK REDUCTION,moeo_socialservicesiteloactions,19,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HEP-C PEER NAVIGATION [574],moeo_socialservicesiteloactions,12,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,HIV PREVENTION SERVICES,moeo_socialservicesiteloactions,7,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,NURSE FAMILY PARTNERSHIP,moeo_socialservicesiteloactions,3,HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,NURSE FAMILY PARTNERSHIP,5,-2
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OTHER PREVENTION SERVICES,moeo_socialservicesiteloactions,3,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND EDUCATION IN CBOS,moeo_socialservicesiteloactions,29,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND EDUCATION IN SHELTERS,moeo_socialservicesiteloactions,4,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH AND STATUS NEUTRAL PREVENTION AND CARE NAVIGATION IN BROOKLYN,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,OUTREACH TO HOMELESS YOUTH,moeo_socialservicesiteloactions,28,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,"POLICY, COMMUNITY RESILIENCE AND RESPONSE",moeo_socialservicesiteloactions,2,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,PREP CURRICULUM DEVELOPMENT,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,PREP EDUCATION AT NEEDLE EXCHANGE SITES,moeo_socialservicesiteloactions,5,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,PREVENTION RESOURCE CENTER,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,PREVENTIVE SERVICES,moeo_socialservicesiteloactions,116,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,PRIMARY PREVENTION SERVICES,moeo_socialservicesiteloactions,6,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,SUPPORT MENTAL HEALTH,moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,TRAINING [574],moeo_socialservicesiteloactions,1,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HEALTH PROMOTION AND DISEASE PREVENTION,YOUTH SERVICES,moeo_socialservicesiteloactions,6,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,ACUTE CARE HOSPITAL,hhc_hospitals,11,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,CHILD HEALTH CENTER,hhc_hospitals,56,,,,,,
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,nysdoh_healthfacilities,218,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,219,-1
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,moeo_socialservicesiteloactions,213,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,219,-6
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,hhc_hospitals,6,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,219,-213
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,nysdoh_healthfacilities,317,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,298,19
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,EMERGENCY MEDICAL STATION,dcas_colp,1,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,EMERGENCY MEDICAL STATION,1,0
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HEALTH FACILITY,moeo_socialservicesiteloactions,23,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HEALTH FACILITY,4,19
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL,nysdoh_healthfacilities,60,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL,73,-13
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,nysdoh_healthfacilities,230,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,235,-5
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,nysdoh_healthfacilities,14,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,MOBILE DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,13,1
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,MOBILE HOSPITAL EXTENSION CLINIC,nysdoh_healthfacilities,6,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,MOBILE HOSPITAL EXTENSION CLINIC,5,1
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER,moeo_socialservicesiteloactions,10,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER,1,9
HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,nysdoh_healthfacilities,97,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,SCHOOL BASED DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,98,-1
